Num_Acc;an;mois;jour;hrmn;lum;agg;atm;col;dep
201400000454;14;4;29;1845;1;1;1;3;60
201400000455;14;5;5;1445;1;2;1;3;60
201400000456;14;6;20;845;1;1;1;2;60
201400000457;14;7;29;1645;1;1;2;3;60
201400000458;14;1;17;1445;1;1;2;1;60
201400000459;14;7;3;1900;1;1;1;1;60
201400000460;14;7;19;1415;1;1;1;3;60
201400000461;14;12;14;615;3;1;5;6;60
201400000462;14;2;14;745;2;1;1;4;60
201400000463;14;3;24;1700;1;2;1;3;60
201400000464;14;7;31;1700;1;2;1;3;60
201400000465;14;9;23;1815;1;1;1;7;60
201400000466;14;11;5;1830;3;1;8;1;60
201400000467;14;1;1;1245;1;1;2;5;60
201400000468;14;1;12;115;5;2;5;7;60
201400000469;14;2;26;1130;1;1;1;5;60
201400000470;14;4;3;1545;1;1;1;3;60
201400000471;14;10;17;830;1;1;1;1;60
201400000472;14;11;25;715;2;1;8;3;60
201400000473;14;2;22;1600;1;2;1;1;60
201400000474;14;1;20;815;2;2;2;3;60
201400000475;14;2;16;1130;1;2;1;7;60
201400000476;14;5;15;2115;1;1;1;1;60
201400000477;14;5;16;2000;1;1;1;1;60
201400000478;14;5;22;615;2;1;1;7;60
201400000479;14;5;25;1600;1;2;1;3;60
201400000480;14;7;16;1145;1;1;1;1;60
201400000481;14;8;3;1700;1;2;1;1;60
201400000482;14;8;23;145;3;1;1;1;60
201400000483;14;11;6;1915;3;1;1;1;60
201400000484;14;12;18;730;2;2;2;6;60
201400000485;14;1;17;700;5;2;1;6;57
201400000486;14;5;24;1230;1;1;1;3;57
201400000487;14;6;21;1730;1;1;1;3;57
201400000488;14;6;23;945;1;1;1;7;57
201400000489;14;8;31;1645;1;1;1;1;57
201400000490;14;9;3;1015;1;1;1;6;57
201400000491;14;9;16;1915;1;1;1;1;57
201400000492;14;10;6;1200;1;2;1;6;57
201400000493;14;10;19;1445;1;2;1;3;57
201400000494;14;10;27;1815;5;2;1;6;57
201400000495;14;11;2;715;2;1;5;6;57
201400000496;14;11;29;1515;1;1;1;1;57
201400000497;14;1;21;715;5;2;9;6;60
201400000498;14;4;11;2200;4;2;1;3;60
201400000499;14;5;16;1530;1;1;1;2;60
201400000500;14;9;7;630;3;1;1;6;60
201400000501;14;10;31;1830;5;2;1;1;60
201400000502;14;11;8;1100;1;1;1;1;60
201400000503;14;11;22;2015;3;1;1;2;60
201400000504;14;11;24;1545;1;2;2;1;60
201400000505;14;5;22;1300;1;2;1;6;60
201400000506;14;7;19;1830;1;1;1;1;60
201400000507;14;8;3;330;3;1;1;3;60
201400000508;14;11;14;930;1;1;1;6;60
201400000509;14;2;18;1630;1;2;2;6;60
201400000510;14;2;22;230;3;1;1;6;60
201400000511;14;4;13;1800;1;2;1;3;60
201400000512;14;4;16;1715;1;2;1;3;60
201400000513;14;6;3;1515;1;1;1;3;60
201400000514;14;7;3;1000;1;2;1;6;60
201400000515;14;8;27;1715;1;2;1;1;60
201400000516;14;9;2;2045;2;2;1;3;60
201400000517;14;2;19;745;2;2;2;3;60
201400000518;14;3;29;2115;5;2;1;1;60
201400000519;14;4;13;1;4;2;1;6;60
201400000520;14;4;7;1215;1;2;1;3;60
201400000521;14;4;18;1645;1;2;1;6;60
201400000522;14;3;5;1245;1;1;1;3;60
201400000523;14;5;4;215;3;1;1;6;60
201400000524;14;6;30;1330;1;1;1;3;60
201400000525;14;11;28;1600;2;1;1;6;60
201400000526;14;4;30;2000;2;1;2;7;60
201400000527;14;6;28;1000;1;1;2;6;60
201400000528;14;7;2;700;1;1;1;1;60
201400000529;14;8;26;1300;1;1;2;5;60
201400000530;14;9;5;1600;1;1;1;4;60
201400000531;14;11;3;1945;3;1;3;5;60
201400000532;14;1;10;1815;5;2;1;4;60
201400000533;14;4;19;1945;3;1;2;1;60
201400000534;14;4;22;1045;1;1;1;6;60
201400000535;14;6;8;300;3;1;3;6;60
201400000536;14;7;10;1230;1;2;8;4;60
201400000537;14;12;17;1830;3;1;8;7;60
201400000538;14;2;12;730;2;1;9;5;76
201400000539;14;3;26;1315;1;1;1;1;76
201400000540;14;6;18;15;5;2;1;6;76
201400000541;14;6;6;1900;1;1;3;7;76
201400000542;14;11;20;1815;3;1;1;1;76
201400000543;14;11;21;845;1;1;1;3;76
201400000544;14;2;23;1145;1;1;1;3;76
201400000545;14;2;27;1115;1;2;2;6;76
201400000546;14;10;21;1900;2;1;6;3;76
201400000547;14;10;23;1815;1;1;1;1;76
201400000548;14;10;27;1545;1;1;7;3;76
201400000549;14;11;12;715;1;1;1;7;76
201400000550;14;11;14;1545;1;1;1;6;76
201400000551;14;12;27;1730;2;1;1;7;76
201400000552;14;4;9;1845;1;1;7;2;76
201400000553;14;5;16;1930;1;1;7;7;76
201400000554;14;5;22;1745;1;1;1;1;76
201400000555;14;5;31;1830;1;2;1;6;76
201400000556;14;6;25;1200;1;1;1;3;76
201400000557;14;10;12;315;5;2;1;1;76
201400000558;14;12;15;1700;5;2;2;6;76
201400000559;14;3;10;1400;1;2;1;7;76
201400000560;14;10;26;1400;1;2;1;3;76
201400000561;14;2;22;1145;1;1;1;3;76
201400000562;14;7;13;1245;1;1;2;1;76
201400000563;14;2;12;815;1;1;9;1;76
201400000564;14;4;2;1445;1;1;1;6;76
201400000565;14;7;27;230;5;2;1;6;76
201400000566;14;8;19;1600;1;1;1;3;76
201400000567;14;8;30;1900;1;1;1;1;76
201400000568;14;9;16;1400;1;1;1;7;76
201400000569;14;9;20;1345;1;1;3;6;76
201400000570;14;10;14;1900;3;1;1;3;76
201400000571;14;10;15;1830;1;1;2;7;76
201400000572;14;11;20;1900;3;1;1;3;76
201400000573;14;2;14;730;5;2;2;6;76
201400000574;14;2;19;730;2;1;1;7;76
201400000575;14;3;25;1615;1;1;2;5;76
201400000576;14;3;28;2345;3;1;1;7;76
201400000577;14;4;9;1545;1;1;1;1;76
201400000578;14;6;22;2115;1;1;1;1;76
201400000579;14;6;27;1500;1;2;8;3;76
201400000580;14;8;12;700;1;1;7;6;76
